mes,dia,telebras,indice
Jan,2.0,34.99,43.19
Jan,4.0,32.09,39.68
Jan,5.0,32.56,40.37
Jan,6.0,30.31,38.27
Jan,9.0,28.91,36.28
Jan,10.0,26.1,32.7
Jan,11.0,28.25,34.99
Jan,12.0,30.41,38.41
Jan,13.0,32.0,41.04
Jan,16.0,31.25,40.56
Jan,17.0,32.37,42.1
Jan,18.0,30.87,40.79
Jan,19.0,28.63,38.09
Jan,20.0,29.56,38.62
Jan,23.0,28.44,37.58
Jan,24.0,29.28,38.4
Jan,26.0,29.84,39.27
Jan,27.0,28.35,37.84
Jan,30.0,27.32,35.81
Jan,31.0,30.41,38.85
Fev,1.0,31.34,39.9
Fev,2.0,30.78,38.98
Fev,3.0,31.44,39.44
Fev,6.0,30.59,38.3
Fev,7.0,28.63,36.37
Fev,8.0,27.6,35.56
Fev,9.0,26.38,34.01
Fev,10.0,25.26,33.08
Fev,13.0,24.98,32.95
Fev,14.0,24.56,31.92
Fev,15.0,23.02,30.69
Fev,16.0,20.96,28.64
Fev,17.0,22.45,30.23
Fev,20.0,21.61,29.62
Fev,21.0,19.74,27.93
Fev,22.0,20.49,28.72
Fev,23.0,23.02,32.17
Fev,24.0,23.48,32.71
Fev,26.0,27.65,35.37
Fev,27.0,28.8,36.61
Fev,28.0,29.21,37.15
Fev,29.0,28.62,36.78
Mar,2.0,20.96,29.89
Mar,6.0,20.4,28.67
Mar,7.0,18.43,26.16
Mar,8.0,16.84,23.63
Mar,9.0,15.06,21.38
Mar,10.0,21.05,26.86
Mar,13.0,20.77,26.71
Mar,14.0,23.3,30.17
Mar,15.0,21.99,29.39
Mar,16.0,23.75,31.42
Mar,17.0,22.08,29.81
Mar,20.0,21.14,28.7
Mar,21.0,22.45,30.06
Mar,22.0,22.36,30.04
Mar,23.0,23.67,31.46
Mar,24.0,25.63,33.61
Mar,27.0,25.73,33.72
Mar,28.0,24.61,32.56
Mar,29.0,24.51,31.98
Mar,30.0,22.13,31.26
Mar,31.0,22.64,29.79
Abr,3.0,22.08,28.94
Abr,4.0,24.33,31.25
Abr,5.0,24.98,31.8
Abr,6.0,25.54,32.54
Abr,7.0,25.35,31.92
Abr,10.0,24.79,31.14
Abr,11.0,24.23,30.18
Abr,12.0,23.95,30.21
Abr,17.0,24.89,31.13
Abr,18.0,25.82,31.94
Abr,19.0,27.23,33.31
Abr,20.0,27.79,33.84
Abr,24.0,29.0,35.13
Abr,25.0,30.13,36.99
Abr,26.0,30.69,38.26
Abr,27.0,31.06,38.51
Abr,28.0,30.86,38.14
Mai,2.0,31.23,38.62
Mai,3.0,31.99,39.76
Mai,4.0,32.41,40.44
Mai,5.0,31.71,40.08
Mai,8.0,30.86,39.14
Mai,9.0,32.23,40.65
Mai,10.0,31.9,40.5
Mai,11.0,30.62,39.51
Mai,12.0,30.95,39.98
Mai,15.0,29.91,38.94
Mai,16.0,29.63,38.35
Mai,17.0,31.14,39.64
Mai,18.0,31.23,40.08
Mai,19.0,30.81,39.5
Mai,22.0,31.99,40.34
Mai,23.0,32.56,40.88
Mai,24.0,33.31,41.0
Mai,25.0,32.37,40.19
Mai,26.0,30.27,39.05
Mai,29.0,30.91,38.96
Mai,30.0,28.71,37.07
Mai,31.0,28.98,37.21
Jun,1.0,29.53,37.74
Jun,2.0,30.91,39.66
Jun,5.0,31.5,40.63
Jun,6.0,30.36,39.33
Jun,7.0,29.07,38.08
Jun,8.0,29.01,38.18
Jun,9.0,27.51,36.71
Jun,12.0,28.16,37.05
Jun,13.0,29.42,37.89
Jun,14.0,27.88,36.65
Jun,16.0,28.48,37.18
Jun,19.0,28.57,36.96
Jun,20.0,27.15,35.77
Jun,21.0,27.88,36.32
Jun,22.0,27.7,35.99
Jun,23.0,27.74,35.86
