Data,CO,O3,temp,umid
"Jan, 1",6.6,113.6,15.2,56
"Jan, 2",6.2,115.2,15.5,55
"Jan, 3",7.9,130.4,16.8,62
"Jan, 4",8.6,110.4,16.4,96
"Jan, 5",8.8,107.2,15.2,62
"Jan, 6",6.4,86.4,16.0,64
"Jan, 7",6.9,120.0,16.3,63
"Jan, 8",7.9,150.4,17.8,68
"Jan, 9",8.2,149.0,18.1,71
"Jan, 10",8.7,117.3,18.3,64
"Jan, 11",6.3,59.7,19.2,69
"Jan, 12",6.3,27.2,17.2,76
"Jan, 13",6.3,119.2,15.1,62
"Jan, 14",6.4,120.8,18.9,78
"Jan, 15",7.7,26.7,19.2,90
"Jan, 16",7.9,50.1,18.3,73
"Jan, 17",7.9,35.2,16.0,94
"Jan, 18",7.7,40.0,15.5,78
"Jan, 19",6.9,96.0,16.0,62
"Jan, 20",6.2,142.0,18.0,66
"Jan, 21",6.2,134.3,17.0,57
"Jan, 22",6.1,82.1,20.0,61
"Jan, 23",7.3,233.2,20.1,61
"Jan, 24",6.6,72.0,18.9,68
"Jan, 25",6.2,96.8,18.8,70
"Jan, 26",5.1,61.6,15.9,94
"Jan, 27",6.1,32.8,15.2,97
"Jan, 28",5.7,35.2,17.0,63
"Jan, 29",6.7,87.2,18.6,61
"Jan, 30",6.5,85.6,20.0,63
"Jan, 31",5.7,34.7,19.9,88
"Fev,1",5.8,22.9,18.9,78
"Fev,2",6.2,83.9,17.8,73
"Fev,3",5.5,204.2,17.0,75
"Fev,4",6.7,192.5,17.9,66
"Fev,5",7.9,99.7,18.0,65
"Fev,6",6.4,182.3,17.8,63
"Fev,7",6.9,141.0,18.2,72
"Fev,8",6.4,87.2,18.0,85
"Fev,9",5.2,34.4,18.5,96
"Fev,10",5.7,40.0,18.9,81
"Fev,11",4.7,60.8,20.0,67
"Fev,12",7.3,82.0,17.9,68
"Fev,13",6.2,98.9,18.0,67
"Fev,14",6.7,200.0,17.0,60
"Fev,15",6.2,172.7,19.0,70
"Fev,16",6.7,65.2,19.0,80
"Fev,17",6.1,149.2,18.0,63
"Fev,18",6.7,100.0,16.7,76
"Fev,19",7.4,128.4,15.8,65
"Fev,20",5.9,135.7,16.0,58
"Fev,21",5.5,121.2,17.0,99
"Fev,22",6.1,85.2,17.6,57
"Fev,23",7.2,48.4,16.9,86
"Fev,24",5.6,81.6,15.2,61
"Fev,25",7.2,72.8,15.2,71
"Fev,26",6.9,164.9,17.0,63
"Fev,27",6.9,137.1,17.0,58
"Fev,28",7.7,82.4,17.3,62
"Mar,1",6.3,38.8,18.9,60
"Mar,2",7.7,30.4,18.8,76
"Mar,3",6.4,26.7,18.1,90
"Mar,4",6.4,33.6,18.3,69
"Mar,5",7.9,24.0,18.1,89
"Mar,6",6.2,12.3,18.0,75
"Mar,7",6.8,12.3,18.0,99
"Mar,8",8.0,129.2,21.0,69
"Mar,9",8.3,105.6,19.0,65
"Mar,10",7.8,116.8,19.0,64
"Mar,11",6.9,85.3,19.0,59
"Mar,12",7.5,56.0,19.0,61
"Mar,13",8.4,61.9,20.1,62
"Mar,14",8.1,50.7,18.0,77
"Mar,15",6.6,40.5,16.9,64
"Mar,16",7.1,48.5,15.2,53
"Mar,17",6.6,92.8,15.8,59
"Mar,18",7.7,97.1,16.9,55
"Mar,19",10.3,32.0,18.9,97
"Mar,20",7.5,56.0,18.1,65
"Mar,21",11.4,91.7,19.0,74
"Mar,22",9.5,38.9,17.8,88
"Mar,23",7.8,33.1,17.1,75
"Mar,24",7.4,34.7,18.0,78
"Mar,25",8.9,140.8,18.6,77
"Mar,26",9.5,27.7,16.0,92
"Mar,27",10.1,18.8,14.2,94
"Mar,28",12.5,24.0,14.0,96
"Mar,29",6.2,33.1,14.8,83
"Mar,30",7.9,28.8,16.3,91
"Mar,31",7.6,18.7,17.0,81
"Abr, 1",9.1,27.2,17.8,56
"Abr, 2",7.0,42.7,16.4,69
"Abr, 3",7.2,62.4,16.0,62
"Abr, 4",7.8,68.3,16.0,64
"Abr, 5",9.1,16.5,14.8,80
"Abr, 6",9.7,122.1,12.3,57
"Abr, 7",6.3,104.0,14.9,66
"Abr, 8",10.8,35.2,17.6,65
"Abr, 9",12.0,150.3,17.9,70
"Abr, 10",8.9,48.8,16.6,60
"Abr, 11",7.6,38.4,18.9,52
"Abr, 12",9.4,59.7,19.0,56
"Abr, 13",11.9,39.6,19.8,82
"Abr, 14",10.3,63.5,19.1,57
"Abr, 15",8.3,92.0,18.4,60
"Abr, 16",7.8,29.9,18.5,69
"Abr, 17",11.6,20.3,18.0,59
"Abr, 18",6.9,19.7,19.0,64
"Abr, 19",7.8,13.3,16.1,83
"Abr, 20",6.9,34.7,13.1,70
"Abr, 21",4.7,40.0,13.8,62
"Abr, 22",7.9,150.2,14.8,58
"Abr, 23",7.4,120.7,13.2,60
"Abr, 24",8.5,28.8,14.9,50
"Abr, 25",8.5,9.1,15.5,97
"Abr, 26",9.0,2.7,15.9,82
"Abr, 27",8.9,11.2,14.1,75
"Abr, 28",10.3,33.1,14.5,58
"Abr, 29",6.1,34.4,14.0,64
"Abr, 30",7.0,53.6,15.1,73
