ano,chuva
1849.0,2001.0
1850.0,852.0
1851.0,1806.0
1852.0,1356.0
1853.0,1233.0
1854.0,1590.0
1855.0,1273.0
1856.0,1770.0
1857.0,1734.0
1858.0,1457.0
1859.0,1357.0
1860.0,1716.0
1861.0,1445.0
1862.0,1468.0
1863.0,1452.0
1864.0,1098.0
1865.0,1238.0
1866.0,2478.0
1867.0,832.0
1868.0,1289.0
1869.0,1470.0
1870.0,1628.0
1871.0,1459.0
1872.0,2256.0
1873.0,2058.0
1874.0,1487.0
1875.0,1581.0
1876.0,1569.0
1877.0,468.0
1878.0,503.0
1879.0,597.0
1880.0,1539.0
1881.0,1423.0
1882.0,1246.0
1883.0,1508.0
1884.0,1047.0
1885.0,1307.0
1886.0,1399.0
1887.0,1320.0
1888.0,736.0
1889.0,784.0
1890.0,1534.0
1891.0,1077.0
1892.0,1211.0
1893.0,1430.0
1894.0,2505.0
1895.0,2491.0
1896.0,2144.0
1897.0,1839.0
1898.0,863.0
1899.0,2414.0
1900.0,940.0
1901.0,1545.0
1902.0,878.0
1903.0,789.0
1904.0,1136.0
1905.0,1189.0
1906.0,1430.0
1907.0,697.0
1908.0,834.0
1909.0,1015.0
1910.0,2051.0
1911.0,1373.0
1912.0,2446.0
1913.0,1905.0
1914.0,1512.0
1915.0,530.0
1916.0,1328.0
1917.0,2077.0
1918.0,1319.0
1919.0,656.0
1920.0,1847.0
1921.0,2496.0
1922.0,1595.0
1923.0,1513.0
1924.0,1847.0
1925.0,1137.0
1926.0,1571.0
1927.0,1195.0
1928.0,995.0
1929.0,1230.0
1930.0,1107.0
1931.0,1133.0
1932.0,879.0
1933.0,937.0
1934.0,1888.0
1935.0,1661.0
1936.0,820.0
1937.0,1313.0
1938.0,1586.0
1939.0,1911.0
1940.0,1447.0
1941.0,916.0
1942.0,780.0
1943.0,1042.0
1944.0,1090.0
1945.0,1750.0
1946.0,1724.0
1947.0,1726.0
1948.0,1384.0
1949.0,1881.0
1950.0,1114.0
1951.0,747.0
1952.0,1378.0
1953.0,1068.0
1954.0,1032.0
1955.0,1152.0
1956.0,806.0
1957.0,1225.0
1958.0,504.0
1959.0,1493.0
1960.0,1011.0
1961.0,1737.0
1962.0,1258.0
1963.0,2102.0
1964.0,2428.0
1965.0,1630.0
1966.0,1288.0
1967.0,1839.0
1968.0,1385.0
1969.0,1805.0
1970.0,1192.0
1971.0,2093.0
1972.0,1299.0
1973.0,2331.0
1974.0,2512.0
1975.0,1778.0
1976.0,1417.0
1977.0,1941.0
1978.0,1752.0
1979.0,996.0
1980.0,1216.0
1981.0,1086.0
1982.0,1051.0
1983.0,955.0
1984.0,2029.0
1985.0,2836.0
1986.0,2457.0
1987.0,1260.0
1988.0,1862.0
1989.0,1863.0
1990.0,978.0
1991.0,1549.0
1992.0,1089.0
1993.0,1043.0
1994.0,2380.0
1995.0,2144.0
1996.0,1708.0
1997.0,1143.0
